HUC8,UNCLASSIFIED,OPEN_WATER,PERENNIAL_SNOW_I,DEVELOPED__OPEN_,DEVELOPED__LOW_I,DEVELOPED__MEDIU,DEVELOPED__HIGH_,BARREN_LAND,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUB_SCRUB,HERBACEUOUS,HAY_PASTURE,CULTIVATED_CROPS,WOODY_WETLANDS,EMERGENT_HERBACE,TOTAL,AREA_INSIDE_US,UNCLASSIFIED_NLCD06,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,DEVOPENNLCD06,DEVLOWNLCD06,DEVMEDNLCD06,DEVHINLCD06,BARRENNLCD06,DECIDNLCD06,EVERGRNLCD06,MIXEDFORNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,Location
10210008,0.00,50132700.00,0.00,6973200.00,237600.00,17100.00,0.00,3048300.00,2853900.00,163800.00,384300.00,221400.00,2343304800.00,3148200.00,20921400.00,19519200.00,116595900.00,2567521800.00,2567521800.00,0.00,0.28,0.13,0.94,1.95,0.00,0.27,0.01,0.00,0.00,0.12,0.11,0.01,0.01,0.01,91.27,0.12,0.81,0.76,4.54,Within USA
10210009,0.00,33228000.00,0.00,135938700.00,25773300.00,3715200.00,1644300.00,4140900.00,64313100.00,2236500.00,58500.00,2541600.00,1741585500.00,74074500.00,1740681000.00,103284000.00,39014100.00,3972229200.00,3972229200.00,0.00,4.21,1.68,45.69,0.84,0.00,3.42,0.65,0.09,0.04,0.10,1.62,0.06,0.00,0.06,43.84,1.86,43.82,2.60,0.98,Within USA
10210010,0.00,11409300.00,0.00,74275200.00,8864100.00,550800.00,187200.00,4161600.00,35542800.00,1250100.00,585000.00,2514600.00,2326504500.00,23637600.00,625140900.00,42470100.00,28404000.00,3185497800.00,3185497800.00,0.00,2.63,1.17,20.37,0.36,0.00,2.33,0.28,0.02,0.01,0.13,1.12,0.04,0.02,0.08,73.03,0.74,19.62,1.33,0.89,Within USA
10220001,0.00,52388100.00,0.00,192474900.00,28145700.00,6421500.00,3038400.00,7440300.00,56826000.00,351900.00,450000.00,4359600.00,4538047500.00,335270700.00,1893856500.00,133321500.00,239814000.00,7492206600.00,7492206600.00,0.00,3.07,0.77,29.75,0.70,0.00,2.57,0.38,0.09,0.04,0.10,0.76,0.00,0.01,0.06,60.57,4.47,25.28,1.78,3.20,Within USA
10220002,0.00,7449300.00,0.00,90073800.00,19566900.00,4220100.00,2151900.00,231300.00,43522200.00,0.00,0.00,22500.00,506165400.00,3204900.00,1507433400.00,10740600.00,3009600.00,2197791900.00,2197791900.00,0.00,5.28,1.98,68.73,0.34,0.00,4.10,0.89,0.19,0.10,0.01,1.98,0.00,0.00,0.00,23.03,0.15,68.59,0.49,0.14,Within USA
10220003,0.00,48269700.00,0.00,227797200.00,58666500.00,13743900.00,4519800.00,1001700.00,116013600.00,0.00,188100.00,185400.00,803433600.00,52802100.00,4311439200.00,73475100.00,3477600.00,5715013500.00,5715013500.00,0.00,5.33,2.03,76.36,0.84,0.00,3.99,1.03,0.24,0.08,0.02,2.03,0.00,0.00,0.00,14.06,0.92,75.44,1.29,0.06,Within USA
10220004,0.00,7248600.00,0.00,105576300.00,25893000.00,2698200.00,1105200.00,108000.00,18212400.00,0.00,46800.00,51300.00,285608700.00,28250100.00,2244933900.00,6883200.00,962100.00,2727577800.00,2727577800.00,0.00,4.96,0.67,83.34,0.27,0.00,3.87,0.95,0.10,0.04,0.00,0.67,0.00,0.00,0.00,10.47,1.04,82.31,0.25,0.04,Within USA
10240006,0.00,23590800.00,0.00,91655100.00,20436300.00,3944700.00,698400.00,64800.00,118440900.00,756900.00,486000.00,1340100.00,439488000.00,147815100.00,1422783900.00,35751600.00,4710600.00,2311963200.00,2311963200.00,0.00,5.05,5.18,67.93,1.02,0.00,3.96,0.88,0.17,0.03,0.00,5.12,0.03,0.02,0.06,19.01,6.39,61.54,1.55,0.20,Within USA
10250008,0.00,9445500.00,0.00,60368400.00,2881800.00,371700.00,96300.00,420300.00,8216100.00,4900500.00,18429300.00,1774800.00,1597392000.00,12494700.00,652727700.00,28973700.00,3589200.00,2402082000.00,2402082000.00,0.00,2.65,1.31,27.69,0.39,0.00,2.51,0.12,0.02,0.00,0.02,0.34,0.20,0.77,0.07,66.50,0.52,27.17,1.21,0.15,Within USA
10270201,0.00,10950300.00,0.00,108568800.00,21873600.00,4059900.00,1536300.00,171900.00,32622300.00,4500.00,0.00,14400.00,164264400.00,3982500.00,2504971800.00,11179800.00,4608900.00,2868809400.00,2868809400.00,0.00,4.74,1.14,87.46,0.38,0.00,3.78,0.76,0.14,0.05,0.01,1.14,0.00,0.00,0.00,5.73,0.14,87.32,0.39,0.16,Within USA
